Player,BirthYear,transfermarkt_player_id
Jérôme Gondorf,1988,
Jérôme Roussillon,1993,
Jørgen Strand Larsen,2000,
Jürgen Locadia,1993,
Kaan Ayhan,1994,
Kai Havertz,1999,
Kaio Jorge,2002,
Kalidou Koulibaly,1991,
Kalvin Phillips,1995,
Kamaldeen Sulemana,2002,
Kamil Glik,1988,
Kamory Doumbia,2003,
Karim Benzema,1987,
Karim Rekik,1994,
Karl Toko Ekambi,1992,
Karol Linetty,1995,
Kasper Dolberg,1997,
Kasper Schmeichel,1986,
Keinan Davis,1998,
Keita Baldé,1995,
Kelvin Amian,1998,
Kelvin Yeboah,2000,
Ken Sema,1993,
Kenan Karaman,1994,
Kenedy,1996,
Kenneth Omeruo,1993,
Kepa Arrizabalaga,1994,
Kerem Demirbay,1993,
Keven Schlotterbeck,1997,
Kevin Agudelo,1998,
Kevin Bonifazi,1996,
Kevin Danso,1998,
Kevin Lasagna,1992,
Kevin Mbabu,1995,
Kevin Mirallas,1987,
Kevin Möhwald,1993,
Kevin Schade,2001,
Kevin Sessa,2000,
Kevin Strootman,1990,
Kevin Stöger,1993,
Kevin Trapp,1990,
Kevin Volland,1992,
Kevin Wimmer,1992,
Kevin-Prince Boateng,1987,
Keylor Navas,1986,
Khouma Babacar,1993,
Khéphren Thuram,2001,
Ki-Jana Hoever,2002,
Kieffer Moore,1992,
Kieran Trippier,1990,
Kike Pérez,1997,
Kiko Casilla,1986,
Kiko Femenía,1991,
Kingsley Schindler,1993,
Kiril Despodov,1996,
Koen Casteels,1992,
Koffi Djidji,1992,
Koni De Winter,2002,
Konrad Laimer,1997,
Konstantinos Mavropanos,1997,
Koray Günter,1994,
Kortney Hause,1995,
Kouadio-Yves Dabila,1997,
Kristjan Asllani,2002,
Kurt Zouma,1994,
Kwadwo Asamoah,1988,
Kyle Walker-Peters,1997,
Kylian Mbappé,1998,
Kévin Gameiro,1987,
Kévin Malcuit,1991,
Kévin Rodrigues,1994,
